Year,Bill No.,Short Title of the Bill,Date of Introduction,Debate / Passed in LS,Debate / Passed in RS,Referred to Committee / Report Presented,Assent Date/ Gazette Notification / Act No.,Synopsis,Status
2016,XVII,"THE SIKH GURDWARAS (AMENDMENT) BILL, 2016",15/03/2016,25/04/2016,16/03/2016,NA,5/5/2016,NA,Assented
2015,LXIII,"THE DR. RAJENDRA PRASAD CENTRAL AGRICULTURAL UNIVERSITY BILL, 2016",23/12/2015,11/5/2016,11/5/2016,NA,28/05/2016,NA,Assented
2014,LIII,"THE ANTI-HIJACKING BILL, 2016",17/12/2014,9/5/2016,4/5/2016,NA,13/05/2016,NA,Assented
2014,VI,"THE DELHI HIGH COURT (AMENDMENT) BILL, 2015",17/02/2014,5/8/2015,6/5/2015,NA,10/8/2015,NA,Assented
2014,IV,"THE CONSTITUTION (SCHEDULED CASTES) ORDERS (AMENDMENT) BILL, 2015",11/2/2014,17/03/2015,24/02/2015,NA,20/03/2015,NA,Assented
2013,XV,"THE CONSTITUTION ( ONE HUNDRED AND NINETEENTH AMENDMENT) BILL, 2013",18/12/2013,7/5/2015,6/5/2015,NA,28/05/2015,NA,Assented
2013,LVII,"THE REPRESENTATION OF THE PEOPLE (AMENDMENT AND VALIDATION) BILL, 2013",26/08/2013,6/9/2013,27/08/2013,NA,20/09/2013,NA,Assented
2013,XLIX,"THE MERCHANT SHIPPING (SECOND AMENDMENT) BILL, 2014",19/08/2013,2/12/2014,1/12/2014,NA,9/12/2014,NA,Assented
2013,XLVI,"THE REAL ESTATE (REGULATION AND DEVELOPMENT) BILL, 2016",14/08/2013,15/03/2016,10/3/2016,NA,25/03/2016,NA,Assented
2013,XLVIII,"THE PARLIAMENT (PREVENTION OF DISQUALIFICATION) AMENDMENT BILL, 2013",8/8/2013,6/9/2013,22/08/2013,NA,20/09/2013,NA,Assented
2013,XXI,"THE MERCHANT SHIPPING (AMENDMENT) BILL, 2014",18/03/2013,2/12/2014,1/12/2014,NA,9/12/2014,NA,Assented
2013,XVI,"THE NATIONAL INSTITUTE OF DESIGN BILL, 2014",11/3/2013,9/7/2014,7/7/2014,NA,17/07/2014,NA,Assented
2012,LXIII,"THE CHILD LABOUR (PROHIBITION AND REGULATION) AMENDMENT BILL, 2016",4/12/2012,26/07/2016,19/07/2016,NA,29/07/2016,NA,Assented
2012,X,"THE RANI LAKSHMI BAI CENTRAL AGRICULTURAL UNIVERSITY BILL, 2014",22/05/2012,20/02/2014,19/02/2014,NA,4/3/2014,NA,Assented
2012,XXIII,"THE ANAND MARRIAGE (AMENDMENT) BILL, 2012",7/5/2012,22/05/2012,21/05/2012,NA,7/6/2012,NA,Assented
2011,XXXII,"THE ADMINISTRATORS-GENERAL (AMENDMENT) BILL, 2012",18/08/2011,17/05/2012,4/5/2012,NA,19/06/2012,NA,Assented
2011,XIV,"THE PROTECTION OF CHILDREN FROM SEXUAL OFFENCES BILL, 2012 ",23/03/2011,22/05/2012,10/5/2012,NA,19/06/2012,NA,Assented
2011,IX,"THE LABOUR LAWS (EXEMPTION FROM FURNISHING RETURNS AND MAINTAINING REGISTERS BY CERTAIN ESTABLISHMENTS) AMENDMENT BILL, 2011",23/03/2011,28/11/2014,25/11/2014,NA,10/12/2014,NA,Assented
2010,XCI,"THE NATIONAL INSTITUTE OF MENTAL HEALTH AND NEURO-SCIENCES, BANGALORE BILL, 2012",7/12/2010,4/9/2012,13/08/2012,NA,13/09/2012,NA,Assented
2010,LXXIII,"THE JUVENILE JUSTICE (CARE AND PROTECTION OF CHILDREN) AMENDMENT BILL, 2011",16/11/2010,29/08/2011,19/08/2011,NA,7/9/2011,NA,Assented
2010,LXIII,"THE PRASAR BHARATI (BROADCASTING CORPORATION OF INDIA) AMENDMENT BILL, 2011",31/08/2010,20/12/2011,8/12/2011,NA,8/1/2012,NA,Assented
2010,XLIII,"THE CENTRAL EDUCATIONAL INSTITUTIONS (RESERVATION IN ADMISSION) AMENDMENT BILL, 2012",6/8/2010,16/05/2012,27/04/2012,NA,19/06/2012,NA,Assented
2010,XLII,"THE JAWAHARLAL INSTITUTE OF POST-GRADUATE MEDICAL EDUCATION AND RESEARCH, PUDUCHERRY (AMENDMENT) BILL, 2011",5/8/2010,18/08/2011,3/8/2011,NA,27/08/2011,NA,Assented
2010,XXVIII,"THE CHARTERED ACCOUNTANTS (AMENDMENT) BILL, 2011",28/04/2010,19/12/2011,12/12/2011,NA,8/1/2012,NA,Assented
2010,XXVII,"THE COMPANY SECRETARIES (AMENDMENT) BILL, 2011",28/04/2010,19/12/2011,12/12/2011,NA,8/1/2012,NA,Assented
2010,XXVI,"THE COST AND WORKS ACCOUNTANTS (AMENDMENT) BILL, 2011",28/04/2010,19/12/2011,12/12/2011,NA,12/1/2012,NA,Assented
2010,XXV,"The Personal Laws (Amendment) Bill, 2010",22/04/2010,21/08/2010,17/08/2010,NA,31/08/2010,NA,Assented
2010,XXIV,"The Copyright (Amendment) Bill, 2012",19/04/2010,22/05/2012,17/05/2012,NA,7/6/2012,NA,Assented
2010,XXII,"The Chemical Weapons Convention (Amendment) Bill, 2012",16/04/2010,30/08/2012,3/5/2012,NA,11/9/2012,NA,Assented
2010,XX,"The National Council for Teacher Education (Amendment) Bill, 2011",16/04/2010,2/9/2011,25/08/2011,NA,12/10/2011,NA,Assented
2010,XIX,"The Right of Children to Free and Compulsory Education (Amendment) Bill, 2012",16/04/2010,9/5/2012,24/04/2012,NA,19/06/2012,NA,Assented
2009,XLVII,"The Foreign Trade (Development and Regulation) Amendment Bill, 2010",25/11/2009,NA,9/8/2010,NA,19/08/2010,NA,Assented
2009,XX,"The Constitution (One Hundred and Ninth Amendment) Bill, 2009",30/07/2009,NA,3/8/2009,NA,NA,NA,Assented
2009,VI,"The Industrial Disputes (Amendment) Bill, 2010",26/02/2009,NA,3/8/2010,NA,18/08/2010,NA,Assented
2008,LXXIII,"The South Asian University Bill, 2008",19/12/2008,23/12/2008,22/12/2008,NA,11/1/2009,NA,Assented
2008,LXXI,"The Central Industrial Security Force (Amendment) Bill, 2008",18/12/2008,25/02/2009,19/02/2009,NA,16/03/2009,NA,Assented
2008,LXIX,"The Railway Property (Unlawful Possession) Amendment Bill, 2012",18/12/2008,18/05/2012,22/12/2011,NA,2/6/2012,NA,Assented
2008,LXV,"The Right of Children to Free and Compulsory Education Bill, 2009",15/12/2008,4/8/2009,20/07/2009,NA,26/08/2009,NA,Assented
2008,LIV,"The Post-Graduate Institute of Medical Education and Research, Chandigarh (Amendment) Bill, 2008",24/10/2008,23/12/2008,19/12/2008,NA,7/1/2009,NA,Assented
2008,LII,"The Representation of the People (Amendment) Bill, 2009",24/10/2008,9/12/2009,25/11/2009,NA,22/12/2009,NA,Assented
2008,XLVII,"THE GRAM NYAYALAYAS BILL, 2008",21/10/2008,22/12/2008,17/12/2008,NA,7/1/2009,NA,Assented
2008,XLVI,"The Limited Liability Partnership Bill, 2008",20/10/2008,12/12/2008,24/10/2008,NA,7/1/2009,NA,Assented
2008,XIX,"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 2008",17/03/2008,19/03/2008,19/03/2008,NA,1/4/2008,NA,Assented
2008,XVIII,"The Central Universities Laws (Amendment) Bill, 2008",11/3/2008,23/10/2008,25/04/2008,NA,5/12/2008,NA,Assented
2008,XV,"The Food Safety and Standards (Amendment) Bill, 2008",3/3/2008,18/03/2008,13/03/2008,NA,28/03/2008,NA,Assented
2007,LXXX,"Constitution (Scheduled Tribes) (Union Territories) Order (Amendment) Bill, 2008 ",27/11/2007,23/12/2008,22/12/2008,NA,7/1/2009,NA,Assented
2007,LXVII,"The Unorganised Workers' Social Security Bill, 2008. , As Passed by Rajyasabha , As Passed by both Houses",10/9/2007,17/12/2008,23/10/2008,NA,33 of 2008,NA,Assented
2007,LXVI,"The Rajiv Gandhi Institute of Petroleum Technology Bill, 2007 , As Passed by Rajyasabha , As Passed by both Houses",7/9/2007,3/12/2007,30/11/2007,NA,54 of 2007,NA,Assented
2007,LVIII,"The Indira Gandhi National Tribal University Bill, 2007",23/08/2007,5/12/2007,3/12/2007,NA,20/12/2007,NA,Assented
2007,XXXIX,"The Collection of Statistics Bill, 2008",17/05/2007,23/12/2008,19/12/2008,NA,7/1/2009,NA,Assented
2007,XXXVIII,"The Maternity Benefit (Amendment) Bill, 2008",14/05/2007,19/03/2008,27/02/2008,NA,1/4/2008,NA,Assented
2007,XIII,"The Mizoram University (Amendment) Bill, 2007",12/3/2007,17/05/2007,15/05/2007,NA,28/05/2007,NA,Assented
2007,XII,"The Jawaharlal Institute of Post-Graduate Medical Education and Research, Puducherry Bill,2008",7/3/2007,29/04/2008,23/04/2008,NA,16/05/2008,NA,Assented
2006,CX,"The Administrative Tribunals (Amendment) Bill, 2006",14/12/2006,18/12/2006,14/12/2006,NA,29/12/2006,NA,Assented
2006,CII,"The Indian Rifles (Repeal) Bill, 2006",27/11/2006,8/12/2006,30/11/2006,NA,17/12/2006,NA,Assented
2006,LXXX,"The Code of Criminal Procedure (Amendment) Bill, 2008. , As Passed by Rajyasabha , As Passed by both Houses",23/08/2006,23/12/2008,18/12/2008,NA,7/1/2009 5 of 2009,NA,Assented
2006,LXX,"The Constitution (Scheduled Tribes) Order Amendment Bill, 2006",31/07/2006,4/12/2006,27/11/2006,NA,12/12/2006,NA,Assented
2006,LXV,"The Sikkim University Bill, 2006",31/07/2006,18/12/2006,13/12/2006,NA,10/1/2007,NA,Assented
2006,LXIV,"The Tripura University Bill, 2006",31/07/2006,18/12/2006,13/12/2006,NA,10/1/2007,NA,Assented
2006,LXIII,"The Rajiv Gandhi University Bill, 2006",31/07/2006,18/12/2006,13/12/2006,NA,10/1/2007,NA,Assented
2006,LXII,"The Sashastra Seema Bal Bill, 2007 , As Passed by Rajyasabha , As Passed by both Houses",28/07/2006,1/12/2007,28/11/2007,NA,20/12/2007 53 of 2007,NA,Assented
2006,XLIII,"The National Institutes of Technology Bill, 2007",22/05/2006,14/05/2007,21/03/2007,NA,5/6/2007,NA,Assented
2006,XLII,"The Apprentices (Amendment) Bill, 2007",19/05/2006,7/9/2007,30/08/2007,NA,19/09/2007 36 of 2005,NA,Assented
2006,XXX,"The Assam Rifles Bill, 2006",21/03/2006,3/8/2006,16/05/2006,NA,3/11/2006,NA,Assented
2006,XXIX,"The Code of Criminal Procedure (Amendment) Amending Bill, 2006 ",21/03/2006,19/05/2006,16/05/2006,NA,2/6/2006,NA,Assented
2006,XXVI,"The English and Foreign Languages University Bill, 2006",20/03/2006,12/12/2006,5/12/2006,NA,10/1/2007,NA,Assented
2006,XXIV,"The Companies (Amendment) Bill, 2006 ",6/3/2006,15/05/2006,21/03/2006,NA,29/05/2006,NA,Assented
2006,XIII,"The Government of Union Territories and the Government of National Capital Territory of Delhi(Amendment) Bill, 2005 ",20/02/2006,1/3/2006,24/02/2006,NA,2/3/2006,NA,Assented
2005,CXXXIII,"The Spirituous Preparations (Inter-State Trade and Commerce) Control (Repeal) Bill, 2006",23/12/2005,3/8/2006,15/05/2006,NA,22/08/2006 32 of 2006,NA,Assented
2005,CXXXII,"The National Institute of Fashion Technology Bill, 2006",23/12/2005,22/05/2006,16/05/2006,NA,13/07/2006 28 of 2006,NA,Assented
2005,CXXXI,"The Wild Life (Protection) Amendment Bill, 2006",23/12/2005,25/08/2006,22/08/2006,NA,3/9/2006 39 of 2006,NA,Assented
2005,CXXX,"The Petroleum and natural gas Regulatory Board Bill, 2006",21/12/2005,21/03/2006,2/3/2006,NA,31/03/2006 19 of 2006,NA,Assented
2005,CXXVII,"THE PREVENTION AND CONTROL OF INFECTIOUS AND CONTAGIOUS DISEASES IN ANIMALS BILL, 2009 , As Passed by Rajyasabha , As Passed by both Houses",21/12/2005,20/02/2009,16/12/2008,NA,20/03/2009 27 of 2009,NA,Assented
